year,sex,age,pop
1987,Males,40,1158619.014352
1987,Males,45,956941.6333689999
1987,Males,50,1113902.519163
1987,Males,55,1081365.29754
1987,Males,60,946293.503721
1987,Males,65,710311.788635
1987,Males,70,528259.3103809999
1987,Males,75,397531.518437
1987,Males,80,223679.322483
1987,Males,85,87689.109941
1987,Males,90,21234.046158
1987,Males,95,4786.359347
1988,Females,0,199729.648417
1988,Females,1,666649.390155
1988,Females,5,1348316.824524
1988,Females,10,1605615.2647850001
1988,Females,15,1601258.0856050001
1988,Females,20,1595926.085866
1988,Females,25,1491284.16695
1988,Females,30,1328150.1016489998
1988,Females,35,1226272.915656
1988,Females,40,1195725.937364
1988,Females,45,992525.606412
1988,Females,50,1115962.234603
1988,Females,55,1163249.792527
1988,Females,60,1061130.4791660002
1988,Females,65,911246.7161999999
1988,Females,70,743289.624119
1988,Females,75,624014.655727
1988,Females,80,410654.43409700005
1988,Females,85,198986.205876
1988,Females,90,57011.978768
1988,Females,95,13271.973735
1988,Males,0,213211.42421299996
1988,Males,1,707338.826704
1988,Males,5,1424142.0395890002
1988,Males,10,1687563.9959840002
1988,Males,15,1683712.0871410002
1988,Males,20,1656525.954552
1988,Males,25,1517277.991595
1988,Males,30,1339069.2601460002
1988,Males,35,1233402.249739
1988,Males,40,1188240.868734
1988,Males,45,979054.7893040001
1988,Males,50,1066134.958395
1988,Males,55,1096225.081122
1988,Males,60,958560.9333929999
1988,Males,65,754509.5622919999
1988,Males,70,527629.511862
1988,Males,75,403545.176948
1988,Males,80,231884.913144
1988,Males,85,94890.732232
1988,Males,90,22615.767733
1988,Males,95,4698.030965
1989,Females,0,194850.32186899998
1989,Females,1,639481.7506929999
1989,Females,5,1284235.7634319998
1989,Females,10,1581530.144334
1989,Females,15,1611485.5352770002
1989,Females,20,1590674.309891
1989,Females,25,1511758.1055120002
1989,Females,30,1366015.1474859999
1989,Females,35,1222271.685531
1989,Females,40,1214410.9869579999
1989,Females,45,1051351.066704
1989,Females,50,1048942.509746
1989,Females,55,1167023.599715
1989,Females,60,1076142.297953
1989,Females,65,946638.794577
1989,Females,70,745469.9976969999
1989,Females,75,633908.9023669999
1989,Females,80,422125.54476099997
1989,Females,85,211466.39623399999
1989,Females,90,59189.221559
1989,Females,95,13498.21099
1989,Males,0,207889.257102
1989,Males,1,676764.309737
1989,Males,5,1355273.6345
1989,Males,10,1661327.132502
1989,Males,15,1692763.321619
1989,Males,20,1652177.4826100003
1989,Males,25,1542433.932569
1989,Males,30,1376932.198913
1989,Males,35,1230048.782809
1989,Males,40,1205512.343453
1989,Males,45,1040178.798941
1989,Males,50,1000143.6889180001
1989,Males,55,1100367.201391
1989,Males,60,972634.4469320001
1989,Males,65,796707.911224
1989,Males,70,530068.9276869999
1989,Males,75,407603.2411069999
1989,Males,80,240002.719262
1989,Males,85,100281.308059
1989,Males,90,23633.324741
1989,Males,95,4565.591565
1990,Females,0,190468.868141
1990,Females,1,613103.573695
1990,Females,5,1225503.8276820001
1990,Females,10,1540084.0045720001
1990,Females,15,1623585.018635
1990,Females,20,1585685.1717070001
1990,Females,25,1528857.617734
1990,Females,30,1404698.461276
1990,Females,35,1235440.262813
1990,Females,40,1212964.013448
1990,Females,45,1091410.599673
1990,Females,50,1014593.387572
1990,Females,55,1159836.090566
1990,Females,60,1092030.0152440001
1990,Females,65,976306.9626450001
